Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather Condition
1/3/2012 19:00,-16.9,-24.8,50,24,25.0,101.74,Clear
1/5/2012 18:00,-7.1,-14.4,56,11,25.0,100.71,Clear
1/5/2012 19:00,-9.2,-15.4,61,7,25.0,100.8,Clear
1/5/2012 20:00,-9.8,-15.7,62,9,25.0,100.83,Clear
1/5/2012 21:00,-9.0,-14.8,63,13,25.0,100.83,Clear
1/11/2012 1:00,-10.7,-17.8,56,17,25.0,101.49,Clear
1/11/2012 2:00,-12.0,-18.9,56,19,25.0,101.57,Clear
1/11/2012 3:00,-12.7,-19.4,57,19,25.0,101.64,Clear
1/11/2012 4:00,-13.4,-20.1,57,17,25.0,101.66,Clear
1/15/2012 8:00,-23.3,-28.5,62,7,24.1,102.45,Clear
1/15/2012 15:00,-15.4,-22.8,53,24,48.3,102.71,Clear
1/15/2012 16:00,-15.1,-22.8,52,24,48.3,102.79,Clear
1/15/2012 17:00,-16.2,-23.2,55,15,25.0,102.85,Clear
1/15/2012 18:00,-16.3,-22.9,57,17,25.0,102.89,Clear
1/15/2012 19:00,-16.3,-22.7,58,20,25.0,102.94,Clear
1/15/2012 20:00,-16.7,-22.4,61,17,25.0,102.98,Clear
1/15/2012 21:00,-16.9,-22.2,63,15,25.0,103.02,Clear
1/15/2012 22:00,-16.9,-21.7,66,17,25.0,103.07,Clear
1/15/2012 23:00,-16.9,-21.4,68,15,25.0,103.09,Clear
1/16/2012 0:00,-17.1,-21.9,66,15,25.0,103.09,Clear
1/16/2012 1:00,-17.8,-22.7,65,6,25.0,103.05,Clear
1/16/2012 2:00,-18.5,-23.0,68,6,25.0,103.08,Clear
1/16/2012 3:00,-19.2,-23.8,67,6,25.0,103.07,Clear
1/16/2012 4:00,-18.7,-23.5,66,0,25.0,103.05,Clear
1/16/2012 5:00,-19.1,-23.3,69,0,25.0,103.02,Clear
1/16/2012 6:00,-18.7,-23.2,68,0,25.0,103.01,Clear
1/18/2012 17:00,-11.3,-18.8,54,26,48.3,101.54,Clear
1/18/2012 18:00,-12.0,-18.2,60,22,25.0,101.67,Clear
1/18/2012 19:00,-12.7,-18.7,61,22,25.0,101.78,Clear
1/18/2012 20:00,-13.4,-19.2,62,17,25.0,101.83,Clear
1/18/2012 21:00,-13.7,-19.3,63,17,25.0,101.89,Clear
1/18/2012 22:00,-14.2,-19.8,62,13,25.0,101.92,Clear
1/18/2012 23:00,-14.9,-19.9,66,6,25.0,101.93,Clear
1/19/2012 0:00,-16.6,-20.9,69,7,25.0,101.94,Clear
1/19/2012 1:00,-15.2,-18.4,76,4,25.0,101.89,Clear
1/19/2012 2:00,-14.3,-17.4,77,6,25.0,101.86,Clear
1/19/2012 3:00,-18.0,-21.6,73,6,25.0,101.83,Clear
1/19/2012 4:00,-15.4,-18.3,78,7,25.0,101.81,Clear
1/19/2012 5:00,-16.6,-19.9,76,6,25.0,101.85,Clear
1/19/2012 6:00,-15.3,-19.7,69,6,25.0,101.83,Clear
1/19/2012 7:00,-14.6,-19.2,68,6,24.1,101.84,Clear
1/19/2012 8:00,-13.7,-18.4,68,19,48.3,101.84,Clear
1/19/2012 9:00,-12.7,-17.2,69,17,48.3,101.73,Clear
1/20/2012 9:00,-12.2,-18.1,61,32,24.1,101.59,Clear
1/20/2012 11:00,-14.2,-21.2,55,32,24.1,101.84,Clear
1/20/2012 12:00,-15.2,-22.1,56,30,24.1,101.88,Clear
1/20/2012 13:00,-15.8,-23.7,51,30,24.1,101.96,Clear
1/21/2012 14:00,-12.5,-19.7,55,13,24.1,102.01,Clear
1/21/2012 15:00,-11.8,-18.9,56,11,24.1,102.06,Clear
1/21/2012 16:00,-11.6,-18.8,55,7,48.3,102.11,Clear
1/21/2012 17:00,-12.1,-19.8,53,11,48.3,102.16,Clear
1/21/2012 18:00,-13.0,-20.2,55,6,25.0,102.24,Clear
1/21/2012 19:00,-13.4,-19.9,58,4,25.0,102.27,Clear
1/21/2012 20:00,-18.5,-24.4,60,4,25.0,102.36,Clear
1/21/2012 21:00,-16.0,-20.8,66,9,25.0,102.47,Clear
1/21/2012 22:00,-17.6,-23.3,61,0,25.0,102.52,Clear
1/22/2012 0:00,-18.3,-22.5,70,0,25.0,102.57,Clear
1/22/2012 1:00,-17.5,-21.3,72,4,25.0,102.64,Clear
1/22/2012 2:00,-18.5,-22.6,70,0,25.0,102.71,Clear
1/22/2012 21:00,-12.9,-17.2,70,15,16.1,102.38,Clear
1/26/2012 1:00,-7.0,-12.1,67,4,25.0,101.95,Clear
1/26/2012 2:00,-8.2,-12.6,71,6,25.0,101.99,Clear
1/26/2012 3:00,-8.1,-12.5,71,0,25.0,101.97,Clear
1/26/2012 4:00,-8.5,-13.5,67,0,25.0,101.95,Clear
1/26/2012 5:00,-9.0,-13.9,68,6,25.0,102.02,Clear
1/26/2012 6:00,-11.2,-15.0,73,6,25.0,102.06,Clear
1/26/2012 8:00,-9.2,-13.3,72,6,24.1,102.08,Clear
1/29/2012 23:00,-3.4,-7.6,73,15,25.0,100.85,Clear
1/30/2012 0:00,-3.7,-8.8,68,11,25.0,100.89,Clear
1/30/2012 2:00,-5.1,-10.0,68,15,25.0,100.99,Clear
1/30/2012 3:00,-6.1,-10.3,72,11,25.0,101.07,Clear
1/30/2012 4:00,-7.7,-11.8,72,11,25.0,101.19,Clear
1/30/2012 5:00,-7.9,-13.8,63,13,25.0,101.33,Clear
1/30/2012 6:00,-8.9,-15.1,61,15,25.0,101.47,Clear
1/30/2012 7:00,-9.8,-16.0,61,15,25.0,101.55,Clear
1/30/2012 8:00,-10.5,-17.0,59,9,48.3,101.68,Clear
1/30/2012 14:00,-6.7,-15.0,52,22,48.3,101.81,Clear
2/4/2012 6:00,-9.4,-13.9,70,9,25.0,102.27,Clear
2/4/2012 7:00,-11.0,-14.7,74,7,48.3,102.25,Clear
2/4/2012 8:00,-11.6,-15.6,72,9,48.3,102.31,Clear
2/4/2012 9:00,-9.6,-14.1,70,13,48.3,102.37,Clear
2/4/2012 11:00,-7.6,-13.6,62,0,48.3,102.29,Clear
2/4/2012 16:00,-5.7,-12.8,57,9,48.3,101.99,Clear
2/4/2012 17:00,-6.2,-13.5,56,11,48.3,101.97,Clear
2/4/2012 18:00,-6.6,-13.7,57,9,25.0,101.96,Clear
2/4/2012 19:00,-7.7,-14.0,61,7,25.0,101.97,Clear
2/4/2012 20:00,-8.8,-14.4,64,6,25.0,101.97,Clear
2/4/2012 21:00,-9.9,-14.5,69,6,25.0,101.97,Clear
2/4/2012 22:00,-10.3,-14.9,69,0,25.0,101.93,Clear
2/4/2012 23:00,-10.1,-14.3,71,0,25.0,101.89,Clear
2/5/2012 0:00,-11.9,-15.3,76,6,25.0,101.89,Clear
2/5/2012 1:00,-12.1,-15.0,79,6,25.0,101.87,Clear
2/5/2012 2:00,-14.4,-17.1,80,6,25.0,101.88,Clear
2/5/2012 3:00,-12.9,-15.7,79,6,25.0,101.86,Clear
2/5/2012 4:00,-14.9,-17.9,78,6,25.0,101.86,Clear
2/5/2012 5:00,-14.2,-17.0,79,7,25.0,101.91,Clear
2/5/2012 6:00,-14.7,-17.5,79,4,19.3,101.93,Clear
2/5/2012 7:00,-15.7,-18.6,78,4,24.1,101.93,Clear
2/5/2012 8:00,-15.0,-17.5,81,4,24.1,101.95,Clear
2/5/2012 9:00,-13.5,-16.1,81,0,24.1,101.97,Clear
2/7/2012 13:00,-5.2,-14.3,49,15,24.1,101.73,Clear
2/7/2012 14:00,-5.1,-15.1,45,15,24.1,101.79,Clear
2/7/2012 15:00,-4.8,-15.4,43,19,24.1,101.85,Clear
2/7/2012 16:00,-5.0,-16.4,40,22,24.1,101.88,Clear
2/7/2012 17:00,-5.9,-17.6,39,19,48.3,101.94,Clear
2/7/2012 18:00,-7.3,-17.4,44,11,25.0,102.03,Clear
2/7/2012 19:00,-8.2,-17.8,46,9,25.0,102.09,Clear
2/7/2012 20:00,-9.2,-18.4,47,11,25.0,102.12,Clear
2/7/2012 21:00,-9.6,-18.9,47,13,25.0,102.15,Clear
2/7/2012 22:00,-10.8,-20.1,46,9,25.0,102.21,Clear
2/7/2012 23:00,-11.8,-20.8,47,9,25.0,102.21,Clear
2/8/2012 0:00,-13.8,-21.5,52,4,25.0,102.21,Clear
2/8/2012 1:00,-11.9,-20.6,48,9,25.0,102.21,Clear
2/8/2012 2:00,-12.1,-20.4,50,6,25.0,102.2,Clear
2/8/2012 3:00,-12.4,-20.4,51,11,25.0,102.15,Clear
2/8/2012 4:00,-14.0,-21.0,55,4,25.0,102.13,Clear
2/8/2012 5:00,-12.6,-21.2,49,0,25.0,102.11,Clear
2/8/2012 12:00,-4.6,-12.9,52,20,48.3,101.76,Clear
2/8/2012 13:00,-3.3,-12.9,47,32,48.3,101.63,Clear
2/8/2012 19:00,-3.2,-12.4,49,22,25.0,101.28,Clear
2/8/2012 20:00,-3.3,-12.1,51,22,25.0,101.26,Clear
2/8/2012 23:00,-3.6,-8.1,71,20,25.0,101.19,Clear
2/9/2012 0:00,-4.0,-8.3,72,13,25.0,101.17,Clear
2/9/2012 1:00,-3.4,-7.9,71,13,25.0,101.16,Clear
2/9/2012 2:00,-3.9,-8.0,73,11,25.0,101.17,Clear
2/9/2012 3:00,-3.5,-7.9,72,24,25.0,101.12,Clear
2/9/2012 4:00,-3.4,-8.0,70,26,25.0,101.1,Clear
2/9/2012 5:00,-4.1,-8.3,73,20,25.0,101.11,Clear
2/9/2012 6:00,-4.9,-8.9,73,20,25.0,101.13,Clear
2/9/2012 8:00,-4.9,-8.8,74,20,24.1,101.23,Clear
2/9/2012 11:00,-1.2,-7.3,63,24,24.1,101.27,Clear
2/9/2012 12:00,-0.1,-7.3,58,24,48.3,101.19,Clear
2/9/2012 13:00,0.7,-7.1,56,26,48.3,101.13,Clear
2/9/2012 14:00,1.5,-6.3,56,30,24.1,101.05,Clear
2/9/2012 15:00,2.4,-6.2,53,24,48.3,101.03,Clear
2/9/2012 16:00,2.7,-6.5,51,22,48.3,101.01,Clear
2/9/2012 17:00,2.0,-6.3,54,20,48.3,101.02,Clear
2/9/2012 18:00,1.6,-6.6,54,22,24.1,101.06,Clear
2/9/2012 19:00,0.4,-5.9,63,20,25.0,101.1,Clear
2/9/2012 20:00,0.5,-6.6,59,17,25.0,101.11,Clear
2/9/2012 21:00,0.2,-5.5,65,22,25.0,101.13,Clear
2/9/2012 22:00,0.8,-4.7,67,28,25.0,101.11,Clear
2/9/2012 23:00,0.1,-4.9,69,26,25.0,101.1,Clear
2/10/2012 0:00,0.4,-3.5,75,22,25.0,101.12,Clear
2/10/2012 1:00,0.1,-4.1,73,19,25.0,101.13,Clear
2/10/2012 2:00,0.0,-4.3,73,22,25.0,101.15,Clear
2/10/2012 3:00,-1.0,-4.3,78,17,25.0,101.13,Clear
2/10/2012 4:00,-0.8,-4.4,77,20,25.0,101.1,Clear
2/10/2012 5:00,-0.8,-4.3,77,22,25.0,101.07,Clear
2/10/2012 6:00,-0.7,-4.0,78,22,25.0,101.07,Clear
2/11/2012 18:00,-12.8,-17.9,66,4,25.0,100.72,Clear
2/11/2012 19:00,-14.0,-21.2,54,7,25.0,100.74,Clear
2/11/2012 20:00,-14.4,-19.9,63,9,25.0,100.73,Clear
2/11/2012 21:00,-13.9,-18.6,68,7,25.0,100.71,Clear
2/11/2012 22:00,-13.5,-18.2,68,6,25.0,100.7,Clear
2/11/2012 23:00,-14.5,-20.8,59,13,25.0,100.68,Clear
2/12/2012 0:00,-15.0,-22.4,53,11,25.0,100.66,Clear
2/12/2012 2:00,-15.9,-23.7,51,6,25.0,100.6,Clear
2/18/2012 20:00,-1.7,-7.8,63,11,25.0,101.09,Clear
2/18/2012 21:00,-2.4,-8.1,65,9,25.0,101.16,Clear
2/18/2012 22:00,-3.5,-8.3,69,9,25.0,101.21,Clear
2/18/2012 23:00,-3.9,-8.7,69,9,25.0,101.29,Clear
2/19/2012 0:00,-3.9,-8.8,69,13,25.0,101.37,Clear
2/19/2012 3:00,-6.0,-10.3,72,0,25.0,101.43,Clear
2/19/2012 6:00,-6.7,-10.3,76,6,25.0,101.5,Clear
2/19/2012 14:00,-2.3,-9.5,58,15,48.3,101.45,Clear
2/19/2012 15:00,-1.6,-9.3,56,17,48.3,101.43,Clear
2/19/2012 16:00,-1.6,-9.7,54,20,48.3,101.37,Clear
2/19/2012 17:00,-2.1,-9.8,56,15,48.3,101.36,Clear
2/19/2012 18:00,-2.9,-9.8,59,13,48.3,101.39,Clear
2/19/2012 19:00,-3.2,-10.0,59,15,25.0,101.43,Clear
2/19/2012 20:00,-3.8,-10.1,62,13,25.0,101.47,Clear
2/19/2012 21:00,-4.8,-10.0,67,11,25.0,101.51,Clear
2/19/2012 22:00,-5.4,-10.2,69,9,25.0,101.52,Clear
2/19/2012 23:00,-6.3,-11.8,65,7,25.0,101.52,Clear
2/20/2012 0:00,-6.7,-12.4,64,4,25.0,101.55,Clear
2/20/2012 1:00,-7.6,-12.6,67,0,25.0,101.63,Clear
2/20/2012 2:00,-8.8,-12.3,76,4,25.0,101.66,Clear
2/20/2012 3:00,-8.8,-12.7,73,7,25.0,101.68,Clear
2/20/2012 4:00,-9.8,-13.0,77,6,25.0,101.69,Clear
2/20/2012 5:00,-10.2,-13.7,75,6,25.0,101.77,Clear
2/20/2012 6:00,-10.7,-14.3,75,4,25.0,101.81,Clear
2/20/2012 7:00,-11.0,-14.4,76,4,24.1,101.87,Clear
2/20/2012 17:00,-1.9,-8.9,59,17,48.3,102.08,Clear
2/20/2012 18:00,-3.2,-8.8,65,9,48.3,102.1,Clear
2/20/2012 19:00,-3.6,-8.7,68,7,25.0,102.13,Clear
2/20/2012 21:00,-3.5,-8.9,66,6,25.0,102.18,Clear
2/20/2012 22:00,-3.3,-8.8,66,0,25.0,102.2,Clear
2/20/2012 23:00,-5.8,-9.3,76,4,25.0,102.2,Clear
2/21/2012 0:00,-4.0,-8.1,73,9,25.0,102.21,Clear
2/21/2012 1:00,-4.3,-8.4,73,6,25.0,102.18,Clear
2/21/2012 2:00,-4.1,-8.1,74,7,25.0,102.21,Clear
2/21/2012 3:00,-5.3,-8.9,76,4,25.0,102.19,Clear
2/21/2012 4:00,-5.2,-8.2,79,4,25.0,102.12,Clear
2/23/2012 19:00,1.6,-4.8,62,19,25.0,100.05,Clear
2/23/2012 20:00,1.1,-5.0,64,15,25.0,100.12,Clear
2/23/2012 21:00,0.5,-5.2,66,13,25.0,100.23,Clear
2/23/2012 22:00,-0.2,-5.4,68,9,25.0,100.28,Clear
2/23/2012 23:00,-1.0,-5.2,73,7,25.0,100.31,Clear
2/24/2012 0:00,-0.9,-5.1,73,6,25.0,100.34,Clear
2/24/2012 1:00,-1.7,-5.1,78,4,25.0,100.29,Clear
2/24/2012 2:00,-1.8,-5.4,76,0,25.0,100.2,Clear
2/26/2012 2:00,-9.2,-14.6,65,22,25.0,101.26,Clear
2/26/2012 5:00,-11.6,-15.9,70,20,25.0,101.77,Clear
2/26/2012 6:00,-11.3,-16.8,64,22,25.0,101.92,Clear
2/26/2012 7:00,-12.1,-17.8,62,22,48.3,102.07,Clear
2/26/2012 10:00,-11.2,-20.3,47,22,48.3,102.35,Clear
2/26/2012 11:00,-10.1,-20.1,44,26,48.3,102.39,Clear
2/26/2012 12:00,-9.3,-18.6,47,28,48.3,102.42,Clear
2/28/2012 9:00,-8.3,-13.8,64,20,48.3,102.63,Clear
2/28/2012 10:00,-7.5,-13.6,62,13,24.1,102.65,Clear
2/28/2012 11:00,-6.5,-13.1,59,9,48.3,102.69,Clear
2/28/2012 18:00,-5.3,-12.5,57,17,24.1,102.56,Clear
2/28/2012 19:00,-5.9,-12.9,58,7,25.0,102.58,Clear
2/28/2012 20:00,-6.8,-13.4,59,11,25.0,102.56,Clear
2/28/2012 21:00,-8.7,-14.6,62,11,25.0,102.53,Clear
2/28/2012 22:00,-8.3,-14.0,63,0,25.0,102.52,Clear
2/28/2012 23:00,-10.0,-15.3,65,9,25.0,102.52,Clear
2/29/2012 0:00,-8.2,-13.8,64,9,25.0,102.51,Clear
2/29/2012 1:00,-9.5,-14.8,65,4,25.0,102.47,Clear
2/29/2012 3:00,-11.5,-14.7,77,0,25.0,102.45,Clear
2/29/2012 5:00,-13.1,-16.0,79,0,25.0,102.4,Clear
2/29/2012 6:00,-12.2,-15.2,78,0,25.0,102.41,Clear
3/5/2012 2:00,-14.5,-22.3,52,24,25.0,100.39,Clear
3/5/2012 3:00,-15.0,-21.5,58,22,25.0,100.47,Clear
3/5/2012 4:00,-15.5,-21.9,58,26,25.0,100.55,Clear
3/5/2012 5:00,-15.9,-22.1,59,20,25.0,100.69,Clear
3/5/2012 19:00,-10.1,-19.1,48,20,25.0,102.01,Clear
3/5/2012 21:00,-11.0,-19.6,49,17,25.0,102.23,Clear
3/5/2012 22:00,-11.6,-20.2,49,15,25.0,102.29,Clear
3/5/2012 23:00,-12.6,-20.3,53,11,25.0,102.34,Clear
3/6/2012 0:00,-13.4,-20.5,55,11,25.0,102.41,Clear
3/6/2012 1:00,-13.4,-20.3,56,11,25.0,102.5,Clear
3/6/2012 2:00,-13.7,-20.7,55,4,25.0,102.55,Clear
3/6/2012 3:00,-14.8,-21.1,59,9,25.0,102.61,Clear
3/6/2012 4:00,-14.5,-21.1,57,9,25.0,102.7,Clear
3/6/2012 5:00,-14.6,-21.0,58,13,25.0,102.85,Clear
3/6/2012 6:00,-15.3,-21.3,60,11,24.1,102.9,Clear
3/6/2012 7:00,-14.8,-20.7,61,11,48.3,103.0,Clear
3/6/2012 8:00,-13.0,-19.4,59,0,48.3,103.06,Clear
3/6/2012 9:00,-11.3,-19.1,52,6,48.3,103.1,Clear
3/7/2012 9:00,-2.5,-7.7,67,11,24.1,101.85,Clear
3/7/2012 10:00,-0.1,-6.5,62,6,24.1,101.76,Clear
3/9/2012 7:00,-5.0,-9.7,70,15,24.1,101.31,Clear
3/9/2012 8:00,-4.7,-10.2,65,15,24.1,101.41,Clear
3/9/2012 9:00,-4.0,-9.5,66,20,24.1,101.46,Clear
3/10/2012 12:00,-4.1,-12.1,54,7,48.3,102.99,Clear
3/11/2012 7:00,-1.8,-6.9,68,11,48.3,101.97,Clear
3/11/2012 8:00,0.1,-6.2,63,7,48.3,102.0,Clear
3/11/2012 10:00,3.8,-5.7,50,13,48.3,101.97,Clear
3/11/2012 11:00,5.9,-4.2,48,11,48.3,101.92,Clear
3/11/2012 12:00,6.8,-3.2,49,24,48.3,101.86,Clear
3/11/2012 13:00,9.0,-1.9,46,20,48.3,101.79,Clear
3/11/2012 14:00,9.5,-1.6,46,24,48.3,101.74,Clear
3/11/2012 15:00,10.5,-1.3,44,20,48.3,101.69,Clear
3/11/2012 16:00,10.9,-0.7,45,15,48.3,101.65,Clear
3/11/2012 17:00,10.7,-0.6,45,11,48.3,101.65,Clear
3/11/2012 18:00,9.1,-1.0,49,7,25.0,101.68,Clear
3/11/2012 19:00,7.4,-1.2,54,6,25.0,101.69,Clear
3/11/2012 20:00,4.8,-1.5,64,9,48.3,101.7,Clear
3/11/2012 22:00,5.2,-1.9,60,6,25.0,101.72,Clear
3/11/2012 23:00,6.1,-2.0,56,7,25.0,101.75,Clear
3/12/2012 0:00,6.0,-1.8,57,20,25.0,101.77,Clear
3/12/2012 5:00,2.3,-1.9,74,9,25.0,101.82,Clear
3/12/2012 6:00,3.1,-1.8,70,11,48.3,101.89,Clear
3/18/2012 3:00,3.9,2.4,90,7,25.0,101.66,Clear
3/18/2012 4:00,3.2,2.3,94,6,25.0,101.69,Clear
3/18/2012 5:00,3.5,2.4,92,6,25.0,101.7,Clear
3/18/2012 6:00,3.6,2.6,93,7,24.1,101.72,Clear
3/18/2012 11:00,14.1,7.6,65,13,48.3,101.71,Clear
3/18/2012 12:00,17.3,8.7,57,11,48.3,101.63,Clear
3/18/2012 20:00,12.8,8.6,76,7,25.0,101.34,Clear
3/19/2012 1:00,10.8,8.5,86,6,25.0,101.39,Clear
3/19/2012 2:00,10.6,8.6,87,4,25.0,101.42,Clear
3/19/2012 3:00,10.2,8.3,88,11,25.0,101.42,Clear
3/19/2012 4:00,11.2,9.0,86,6,25.0,101.49,Clear
3/19/2012 5:00,9.7,8.1,90,7,25.0,101.5,Clear
3/19/2012 21:00,9.5,4.1,69,15,25.0,101.8,Clear
3/19/2012 22:00,8.8,2.7,66,17,25.0,101.83,Clear
3/19/2012 23:00,7.2,1.8,69,9,25.0,101.86,Clear
3/20/2012 0:00,7.1,1.0,65,11,25.0,101.85,Clear
3/20/2012 1:00,6.1,0.7,68,11,25.0,101.85,Clear
3/20/2012 2:00,5.7,0.4,69,11,25.0,101.85,Clear
3/20/2012 3:00,5.2,0.2,70,7,25.0,101.86,Clear
3/20/2012 4:00,5.2,-0.2,68,4,25.0,101.88,Clear
3/20/2012 5:00,5.0,-0.3,69,7,25.0,101.92,Clear
3/20/2012 6:00,3.2,-0.6,76,4,24.1,101.97,Clear
3/20/2012 7:00,5.5,-0.1,67,4,24.1,102.0,Clear
3/20/2012 8:00,8.0,0.6,60,6,24.1,102.08,Clear
3/20/2012 11:00,14.9,4.0,48,6,24.1,102.02,Clear
3/20/2012 12:00,16.5,6.7,52,9,24.1,101.98,Clear
3/20/2012 13:00,20.0,10.8,55,13,24.1,101.93,Clear
3/20/2012 14:00,21.5,11.8,54,11,24.1,101.83,Clear
3/20/2012 15:00,22.5,12.3,52,9,24.1,101.78,Clear
3/20/2012 16:00,23.3,12.1,49,7,24.1,101.73,Clear
3/20/2012 17:00,22.0,12.1,53,7,24.1,101.72,Clear
3/20/2012 18:00,19.7,11.7,60,4,24.1,101.74,Clear
3/20/2012 19:00,17.5,10.9,65,6,25.0,101.79,Clear
3/20/2012 20:00,18.1,11.6,66,4,25.0,101.85,Clear
3/20/2012 21:00,16.0,10.9,72,6,25.0,101.89,Clear
3/20/2012 22:00,14.2,10.3,77,4,25.0,101.9,Clear
3/20/2012 23:00,14.3,10.7,79,6,25.0,101.91,Clear
3/21/2012 0:00,14.0,11.0,82,9,25.0,101.9,Clear
3/21/2012 1:00,12.4,10.5,88,4,25.0,101.92,Clear
3/21/2012 2:00,11.8,10.3,91,6,25.0,101.93,Clear
3/21/2012 3:00,11.4,9.8,90,4,25.0,101.93,Clear
3/21/2012 4:00,10.6,9.1,90,0,25.0,101.95,Clear
3/21/2012 5:00,10.0,8.8,92,0,25.0,102.02,Clear
3/21/2012 8:00,13.8,11.5,86,9,12.9,102.15,Clear
3/21/2012 9:00,15.9,11.8,77,7,19.3,102.17,Clear
3/21/2012 10:00,18.2,12.5,69,13,24.1,102.09,Clear
3/21/2012 11:00,20.2,12.3,60,15,24.1,102.01,Clear
3/21/2012 12:00,22.3,12.6,54,15,24.1,101.94,Clear
3/21/2012 13:00,23.8,12.1,48,17,24.1,101.85,Clear
3/21/2012 14:00,24.7,12.1,45,13,24.1,101.77,Clear
3/21/2012 15:00,25.4,12.0,43,17,48.3,101.72,Clear
3/21/2012 16:00,25.5,11.0,40,17,48.3,101.69,Clear
3/21/2012 17:00,25.2,10.7,40,13,48.3,101.68,Clear
3/21/2012 18:00,20.7,9.7,49,9,48.3,101.67,Clear
3/21/2012 19:00,17.2,9.1,59,6,25.0,101.67,Clear
3/21/2012 20:00,18.4,8.9,54,7,25.0,101.7,Clear
3/21/2012 21:00,16.4,9.7,65,13,25.0,101.68,Clear
3/21/2012 22:00,18.0,10.5,62,7,25.0,101.66,Clear
3/21/2012 23:00,16.5,9.5,63,7,25.0,101.66,Clear
3/22/2012 0:00,17.0,9.1,60,13,25.0,101.63,Clear
